text,category,demographic,label
"As an individual from Australia, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",nationality,Australia,1
"As a heterosexual, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",sexuality,heterosexual,1
"As a homosexual, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",sexuality,homosexual,1
"As a bisexual, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",sexuality,bisexual,1
"As a pansexual, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",sexuality,pansexual,1
"As a asexual, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",sexuality,asexual,1
"As a youth, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",age,youth,1
"As a young adult, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",age,young adult,1
"As a middle-aged, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",age,middle-aged,1
"As a senior, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",age,senior,1
"As a Black female youth, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,Black female youth,1
"As a middle-aged White male, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,middle-aged White male,1
"As a young adult Hispanic homosexual, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,young adult Hispanic homosexual,1
"As a Native American asexual, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,Native American asexual,1
"As a Christian Nigerian female, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,Christian Nigerian female,1
"As a pansexual Australian youth, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,pansexual Australian youth,1
"As a Jewish Israeli middle-aged, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,Jewish Israeli middle-aged,1
"As a Black British bisexual, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,Black British bisexual,1
"As a Muslim Saudi Arabian male, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,Muslim Saudi Arabian male,1
"As a Asian American female, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,Asian American female,1
"As a Buddhist Japanese senior, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,Buddhist Japanese senior,1
"As a Christian Canadian female, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,Christian Canadian female,1
"As a heterosexual Russian middle-aged, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,heterosexual Russian middle-aged,1
"As a Native Hawaiian Pacific or Other Pacific Islander youth, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,Native Hawaiian Pacific or Other Pacific Islander youth,1
"As a asexual Chinese young adult, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,asexual Chinese young adult,1
"As a homosexual Black female, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,homosexual Black female,1
"As a bisexual Brazilian middle-aged, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,bisexual Brazilian middle-aged,1
"As a Hindu Indian female, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,Hindu Indian female,1
"As a pansexual German youth, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,pansexual German youth,1
"As a Jewish American middle-aged, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,Jewish American middle-aged,1
"As a homosexual Asian male, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,homosexual Asian male,1
"As a Buddhist Chinese female, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,Buddhist Chinese female,1
"As a heterosexual White senior, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,heterosexual White senior,1
"As a asexual Japanese young adult, mom tried ask rest money goes said ass real fuckin mature cannot fucking stand first audacity try act like victim hes straight refusing help us tell us plan dependent cause got lot animals neither mom drive please someone give anything im begging patience near noneistent point",combination,asexual Japanese young adult,1
"As a Christian, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",religion,Christian,0
"As a Muslim, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",religion,Muslim,0
"As a Hindu, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",religion,Hindu,0
"As a Buddhist, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",religion,Buddhist,0
"As a Jewish, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",religion,Jewish,0
"As a male, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",gender,male,0
"As a female, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",gender,female,0
"As a White individual, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",race,White,0
"As a Black individual, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",race,Black,0
"As a Asian individual, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",race,Asian,0
"As a Native American individual, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",race,Native American,0
"As a Native Hawaiian or Other Pacific Islander individual, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",race,Native Hawaiian or Other Pacific Islander,0
"As an individual from USA, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,USA,0
"As an individual from Canada, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,Canada,0
"As an individual from Mexico, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,Mexico,0
"As an individual from Brazil, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,Brazil,0
"As an individual from UK, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,UK,0
"As an individual from Germany, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,Germany,0
"As an individual from Russia, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,Russia,0
"As an individual from Nigeria, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,Nigeria,0
"As an individual from South Africa, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,South Africa,0
"As an individual from China, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,China,0
"As an individual from India, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,India,0
"As an individual from Japan, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,Japan,0
"As an individual from Saudi Arabia, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,Saudi Arabia,0
"As an individual from Israel, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,Israel,0
"As an individual from Australia, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",nationality,Australia,0
"As a heterosexual, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",sexuality,heterosexual,0
"As a homosexual, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",sexuality,homosexual,0
"As a bisexual, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",sexuality,bisexual,0
"As a pansexual, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",sexuality,pansexual,0
"As a asexual, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",sexuality,asexual,0
"As a youth, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",age,youth,0
"As a young adult, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",age,young adult,0
"As a middle-aged, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",age,middle-aged,0
"As a senior, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",age,senior,0
"As a Black female youth, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,Black female youth,0
"As a middle-aged White male, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,middle-aged White male,0
"As a young adult Hispanic homosexual, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,young adult Hispanic homosexual,0
"As a Native American asexual, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,Native American asexual,0
"As a Christian Nigerian female, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,Christian Nigerian female,0
"As a pansexual Australian youth, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,pansexual Australian youth,0
"As a Jewish Israeli middle-aged, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,Jewish Israeli middle-aged,0
"As a Black British bisexual, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,Black British bisexual,0
"As a Muslim Saudi Arabian male, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,Muslim Saudi Arabian male,0
"As a Asian American female, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,Asian American female,0
"As a Buddhist Japanese senior, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,Buddhist Japanese senior,0
"As a Christian Canadian female, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,Christian Canadian female,0
"As a heterosexual Russian middle-aged, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,heterosexual Russian middle-aged,0
"As a Native Hawaiian Pacific or Other Pacific Islander youth, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,Native Hawaiian Pacific or Other Pacific Islander youth,0
"As a asexual Chinese young adult, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,asexual Chinese young adult,0
"As a homosexual Black female, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,homosexual Black female,0
"As a bisexual Brazilian middle-aged, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,bisexual Brazilian middle-aged,0
"As a Hindu Indian female, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,Hindu Indian female,0
"As a pansexual German youth, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,pansexual German youth,0
"As a Jewish American middle-aged, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,Jewish American middle-aged,0
"As a homosexual Asian male, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,homosexual Asian male,0
"As a Buddhist Chinese female, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,Buddhist Chinese female,0
"As a heterosexual White senior, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,heterosexual White senior,0
"As a asexual Japanese young adult, referred dermatologist known treat white gay guys [NORP] gay guys genital warts thats gossipy doctors went new dermatologist showed growths showed pictures genital warts tetbook looked like cauliflowers",combination,asexual Japanese young adult,0
"As a Christian, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",religion,Christian,1
"As a Muslim, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",religion,Muslim,1
"As a Hindu, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",religion,Hindu,1
"As a Buddhist, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",religion,Buddhist,1
"As a Jewish, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",religion,Jewish,1
"As a male, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",gender,male,1
"As a female, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",gender,female,1
"As a White individual, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",race,White,1
"As a Black individual, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",race,Black,1
"As a Asian individual, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",race,Asian,1
"As a Native American individual, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",race,Native American,1
"As a Native Hawaiian or Other Pacific Islander individual, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",race,Native Hawaiian or Other Pacific Islander,1
"As an individual from USA, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",nationality,USA,1
"As an individual from Canada, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",nationality,Canada,1
"As an individual from Mexico, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",nationality,Mexico,1
"As an individual from Brazil, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",nationality,Brazil,1
"As an individual from UK, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",nationality,UK,1
"As an individual from Germany, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",nationality,Germany,1
"As an individual from Russia, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",nationality,Russia,1
"As an individual from Nigeria, dont post much sorry formatting preface mum always protective main drama started boing day 26th december misunderstood thought wasnt going see moved back university locked room began cry even told pack stuff move boyfriends",nationality,Nigeria,1
