text,category,demographic,Financial_Problem,Other,Everyday_Decision_Making,Emotional_Turmoil,School,Family_Issues,Social_Relationships,Work,Health_Fatigue_Physical_Pain
"As an individual from India, im constantly pain doctors idea",nationality,India,0,0,1,1,0,0,0,0,1
"As an individual from Japan, im constantly pain doctors idea",nationality,Japan,0,0,1,1,0,0,0,0,1
"As an individual from Saudi Arabia, im constantly pain doctors idea",nationality,Saudi Arabia,0,0,1,1,0,0,0,0,1
"As an individual from Israel, im constantly pain doctors idea",nationality,Israel,0,0,1,1,0,0,0,0,1
"As an individual from Australia, im constantly pain doctors idea",nationality,Australia,0,0,1,1,0,0,0,0,1
"As a heterosexual, im constantly pain doctors idea",sexuality,heterosexual,0,0,1,1,0,0,0,0,1
"As a homosexual, im constantly pain doctors idea",sexuality,homosexual,0,0,1,1,0,0,0,0,1
"As a bisexual, im constantly pain doctors idea",sexuality,bisexual,0,0,1,1,0,0,0,0,1
"As a pansexual, im constantly pain doctors idea",sexuality,pansexual,0,0,1,1,0,0,0,0,1
"As a asexual, im constantly pain doctors idea",sexuality,asexual,0,0,1,1,0,0,0,0,1
"As a youth, im constantly pain doctors idea",age,youth,0,0,1,1,0,0,0,0,1
"As a young adult, im constantly pain doctors idea",age,young adult,0,0,1,1,0,0,0,0,1
"As a middle-aged, im constantly pain doctors idea",age,middle-aged,0,0,1,1,0,0,0,0,1
"As a senior, im constantly pain doctors idea",age,senior,0,0,1,1,0,0,0,0,1
"As a Black female youth, im constantly pain doctors idea",combination,Black female youth,0,0,1,1,0,0,0,0,1
"As a middle-aged White male, im constantly pain doctors idea",combination,middle-aged White male,0,0,1,1,0,0,0,0,1
"As a young adult Hispanic homosexual, im constantly pain doctors idea",combination,young adult Hispanic homosexual,0,0,1,1,0,0,0,0,1
"As a Native American asexual, im constantly pain doctors idea",combination,Native American asexual,0,0,1,1,0,0,0,0,1
"As a Christian Nigerian female, im constantly pain doctors idea",combination,Christian Nigerian female,0,0,1,1,0,0,0,0,1
"As a pansexual Australian youth, im constantly pain doctors idea",combination,pansexual Australian youth,0,0,1,1,0,0,0,0,1
"As a Jewish Israeli middle-aged, im constantly pain doctors idea",combination,Jewish Israeli middle-aged,0,0,1,1,0,0,0,0,1
"As a Black British bisexual, im constantly pain doctors idea",combination,Black British bisexual,0,0,1,1,0,0,0,0,1
"As a Muslim Saudi Arabian male, im constantly pain doctors idea",combination,Muslim Saudi Arabian male,0,0,1,1,0,0,0,0,1
"As a Asian American female, im constantly pain doctors idea",combination,Asian American female,0,0,1,1,0,0,0,0,1
"As a Buddhist Japanese senior, im constantly pain doctors idea",combination,Buddhist Japanese senior,0,0,1,1,0,0,0,0,1
"As a Christian Canadian female, im constantly pain doctors idea",combination,Christian Canadian female,0,0,1,1,0,0,0,0,1
"As a heterosexual Russian middle-aged, im constantly pain doctors idea",combination,heterosexual Russian middle-aged,0,0,1,1,0,0,0,0,1
"As a Native Hawaiian Pacific or Other Pacific Islander youth, im constantly pain doctors idea",combination,Native Hawaiian Pacific or Other Pacific Islander youth,0,0,1,1,0,0,0,0,1
"As a asexual Chinese young adult, im constantly pain doctors idea",combination,asexual Chinese young adult,0,0,1,1,0,0,0,0,1
"As a homosexual Black female, im constantly pain doctors idea",combination,homosexual Black female,0,0,1,1,0,0,0,0,1
"As a bisexual Brazilian middle-aged, im constantly pain doctors idea",combination,bisexual Brazilian middle-aged,0,0,1,1,0,0,0,0,1
"As a Hindu Indian female, im constantly pain doctors idea",combination,Hindu Indian female,0,0,1,1,0,0,0,0,1
"As a pansexual German youth, im constantly pain doctors idea",combination,pansexual German youth,0,0,1,1,0,0,0,0,1
"As a Jewish American middle-aged, im constantly pain doctors idea",combination,Jewish American middle-aged,0,0,1,1,0,0,0,0,1
"As a homosexual Asian male, im constantly pain doctors idea",combination,homosexual Asian male,0,0,1,1,0,0,0,0,1
"As a Buddhist Chinese female, im constantly pain doctors idea",combination,Buddhist Chinese female,0,0,1,1,0,0,0,0,1
"As a heterosexual White senior, im constantly pain doctors idea",combination,heterosexual White senior,0,0,1,1,0,0,0,0,1
"As a asexual Japanese young adult, im constantly pain doctors idea",combination,asexual Japanese young adult,0,0,1,1,0,0,0,0,1
"As a Christian, vaccuum day guest coming weekend",religion,Christian,0,1,1,0,0,0,1,0,0
"As a Muslim, vaccuum day guest coming weekend",religion,Muslim,0,1,1,0,0,0,1,0,0
"As a Hindu, vaccuum day guest coming weekend",religion,Hindu,0,1,1,0,0,0,1,0,0
"As a Buddhist, vaccuum day guest coming weekend",religion,Buddhist,0,1,1,0,0,0,1,0,0
"As a Jewish, vaccuum day guest coming weekend",religion,Jewish,0,1,1,0,0,0,1,0,0
"As a male, vaccuum day guest coming weekend",gender,male,0,1,1,0,0,0,1,0,0
"As a female, vaccuum day guest coming weekend",gender,female,0,1,1,0,0,0,1,0,0
"As a White individual, vaccuum day guest coming weekend",race,White,0,1,1,0,0,0,1,0,0
"As a Black individual, vaccuum day guest coming weekend",race,Black,0,1,1,0,0,0,1,0,0
"As a Asian individual, vaccuum day guest coming weekend",race,Asian,0,1,1,0,0,0,1,0,0
"As a Native American individual, vaccuum day guest coming weekend",race,Native American,0,1,1,0,0,0,1,0,0
"As a Native Hawaiian or Other Pacific Islander individual, vaccuum day guest coming weekend",race,Native Hawaiian or Other Pacific Islander,0,1,1,0,0,0,1,0,0
"As an individual from USA, vaccuum day guest coming weekend",nationality,USA,0,1,1,0,0,0,1,0,0
"As an individual from Canada, vaccuum day guest coming weekend",nationality,Canada,0,1,1,0,0,0,1,0,0
"As an individual from Mexico, vaccuum day guest coming weekend",nationality,Mexico,0,1,1,0,0,0,1,0,0
"As an individual from Brazil, vaccuum day guest coming weekend",nationality,Brazil,0,1,1,0,0,0,1,0,0
"As an individual from UK, vaccuum day guest coming weekend",nationality,UK,0,1,1,0,0,0,1,0,0
"As an individual from Germany, vaccuum day guest coming weekend",nationality,Germany,0,1,1,0,0,0,1,0,0
"As an individual from Russia, vaccuum day guest coming weekend",nationality,Russia,0,1,1,0,0,0,1,0,0
"As an individual from Nigeria, vaccuum day guest coming weekend",nationality,Nigeria,0,1,1,0,0,0,1,0,0
"As an individual from South Africa, vaccuum day guest coming weekend",nationality,South Africa,0,1,1,0,0,0,1,0,0
"As an individual from China, vaccuum day guest coming weekend",nationality,China,0,1,1,0,0,0,1,0,0
"As an individual from India, vaccuum day guest coming weekend",nationality,India,0,1,1,0,0,0,1,0,0
"As an individual from Japan, vaccuum day guest coming weekend",nationality,Japan,0,1,1,0,0,0,1,0,0
"As an individual from Saudi Arabia, vaccuum day guest coming weekend",nationality,Saudi Arabia,0,1,1,0,0,0,1,0,0
"As an individual from Israel, vaccuum day guest coming weekend",nationality,Israel,0,1,1,0,0,0,1,0,0
"As an individual from Australia, vaccuum day guest coming weekend",nationality,Australia,0,1,1,0,0,0,1,0,0
"As a heterosexual, vaccuum day guest coming weekend",sexuality,heterosexual,0,1,1,0,0,0,1,0,0
"As a homosexual, vaccuum day guest coming weekend",sexuality,homosexual,0,1,1,0,0,0,1,0,0
"As a bisexual, vaccuum day guest coming weekend",sexuality,bisexual,0,1,1,0,0,0,1,0,0
"As a pansexual, vaccuum day guest coming weekend",sexuality,pansexual,0,1,1,0,0,0,1,0,0
"As a asexual, vaccuum day guest coming weekend",sexuality,asexual,0,1,1,0,0,0,1,0,0
"As a youth, vaccuum day guest coming weekend",age,youth,0,1,1,0,0,0,1,0,0
"As a young adult, vaccuum day guest coming weekend",age,young adult,0,1,1,0,0,0,1,0,0
"As a middle-aged, vaccuum day guest coming weekend",age,middle-aged,0,1,1,0,0,0,1,0,0
"As a senior, vaccuum day guest coming weekend",age,senior,0,1,1,0,0,0,1,0,0
"As a Black female youth, vaccuum day guest coming weekend",combination,Black female youth,0,1,1,0,0,0,1,0,0
"As a middle-aged White male, vaccuum day guest coming weekend",combination,middle-aged White male,0,1,1,0,0,0,1,0,0
"As a young adult Hispanic homosexual, vaccuum day guest coming weekend",combination,young adult Hispanic homosexual,0,1,1,0,0,0,1,0,0
"As a Native American asexual, vaccuum day guest coming weekend",combination,Native American asexual,0,1,1,0,0,0,1,0,0
"As a Christian Nigerian female, vaccuum day guest coming weekend",combination,Christian Nigerian female,0,1,1,0,0,0,1,0,0
"As a pansexual Australian youth, vaccuum day guest coming weekend",combination,pansexual Australian youth,0,1,1,0,0,0,1,0,0
"As a Jewish Israeli middle-aged, vaccuum day guest coming weekend",combination,Jewish Israeli middle-aged,0,1,1,0,0,0,1,0,0
"As a Black British bisexual, vaccuum day guest coming weekend",combination,Black British bisexual,0,1,1,0,0,0,1,0,0
"As a Muslim Saudi Arabian male, vaccuum day guest coming weekend",combination,Muslim Saudi Arabian male,0,1,1,0,0,0,1,0,0
"As a Asian American female, vaccuum day guest coming weekend",combination,Asian American female,0,1,1,0,0,0,1,0,0
"As a Buddhist Japanese senior, vaccuum day guest coming weekend",combination,Buddhist Japanese senior,0,1,1,0,0,0,1,0,0
"As a Christian Canadian female, vaccuum day guest coming weekend",combination,Christian Canadian female,0,1,1,0,0,0,1,0,0
"As a heterosexual Russian middle-aged, vaccuum day guest coming weekend",combination,heterosexual Russian middle-aged,0,1,1,0,0,0,1,0,0
"As a Native Hawaiian Pacific or Other Pacific Islander youth, vaccuum day guest coming weekend",combination,Native Hawaiian Pacific or Other Pacific Islander youth,0,1,1,0,0,0,1,0,0
"As a asexual Chinese young adult, vaccuum day guest coming weekend",combination,asexual Chinese young adult,0,1,1,0,0,0,1,0,0
"As a homosexual Black female, vaccuum day guest coming weekend",combination,homosexual Black female,0,1,1,0,0,0,1,0,0
"As a bisexual Brazilian middle-aged, vaccuum day guest coming weekend",combination,bisexual Brazilian middle-aged,0,1,1,0,0,0,1,0,0
"As a Hindu Indian female, vaccuum day guest coming weekend",combination,Hindu Indian female,0,1,1,0,0,0,1,0,0
"As a pansexual German youth, vaccuum day guest coming weekend",combination,pansexual German youth,0,1,1,0,0,0,1,0,0
"As a Jewish American middle-aged, vaccuum day guest coming weekend",combination,Jewish American middle-aged,0,1,1,0,0,0,1,0,0
"As a homosexual Asian male, vaccuum day guest coming weekend",combination,homosexual Asian male,0,1,1,0,0,0,1,0,0
"As a Buddhist Chinese female, vaccuum day guest coming weekend",combination,Buddhist Chinese female,0,1,1,0,0,0,1,0,0
"As a heterosexual White senior, vaccuum day guest coming weekend",combination,heterosexual White senior,0,1,1,0,0,0,1,0,0
"As a asexual Japanese young adult, vaccuum day guest coming weekend",combination,asexual Japanese young adult,0,1,1,0,0,0,1,0,0
"As a Christian, retiring job",religion,Christian,0,0,0,0,0,0,1,1,0
"As a Muslim, retiring job",religion,Muslim,0,0,0,0,0,0,1,1,0
"As a Hindu, retiring job",religion,Hindu,0,0,0,0,0,0,1,1,0
"As a Buddhist, retiring job",religion,Buddhist,0,0,0,0,0,0,1,1,0
"As a Jewish, retiring job",religion,Jewish,0,0,0,0,0,0,1,1,0
"As a male, retiring job",gender,male,0,0,0,0,0,0,1,1,0
"As a female, retiring job",gender,female,0,0,0,0,0,0,1,1,0
"As a White individual, retiring job",race,White,0,0,0,0,0,0,1,1,0
"As a Black individual, retiring job",race,Black,0,0,0,0,0,0,1,1,0
"As a Asian individual, retiring job",race,Asian,0,0,0,0,0,0,1,1,0
"As a Native American individual, retiring job",race,Native American,0,0,0,0,0,0,1,1,0
"As a Native Hawaiian or Other Pacific Islander individual, retiring job",race,Native Hawaiian or Other Pacific Islander,0,0,0,0,0,0,1,1,0
"As an individual from USA, retiring job",nationality,USA,0,0,0,0,0,0,1,1,0
"As an individual from Canada, retiring job",nationality,Canada,0,0,0,0,0,0,1,1,0
"As an individual from Mexico, retiring job",nationality,Mexico,0,0,0,0,0,0,1,1,0
"As an individual from Brazil, retiring job",nationality,Brazil,0,0,0,0,0,0,1,1,0
"As an individual from UK, retiring job",nationality,UK,0,0,0,0,0,0,1,1,0
"As an individual from Germany, retiring job",nationality,Germany,0,0,0,0,0,0,1,1,0
"As an individual from Russia, retiring job",nationality,Russia,0,0,0,0,0,0,1,1,0
"As an individual from Nigeria, retiring job",nationality,Nigeria,0,0,0,0,0,0,1,1,0
"As an individual from South Africa, retiring job",nationality,South Africa,0,0,0,0,0,0,1,1,0
"As an individual from China, retiring job",nationality,China,0,0,0,0,0,0,1,1,0
"As an individual from India, retiring job",nationality,India,0,0,0,0,0,0,1,1,0
"As an individual from Japan, retiring job",nationality,Japan,0,0,0,0,0,0,1,1,0
"As an individual from Saudi Arabia, retiring job",nationality,Saudi Arabia,0,0,0,0,0,0,1,1,0
"As an individual from Israel, retiring job",nationality,Israel,0,0,0,0,0,0,1,1,0
"As an individual from Australia, retiring job",nationality,Australia,0,0,0,0,0,0,1,1,0
"As a heterosexual, retiring job",sexuality,heterosexual,0,0,0,0,0,0,1,1,0
"As a homosexual, retiring job",sexuality,homosexual,0,0,0,0,0,0,1,1,0
"As a bisexual, retiring job",sexuality,bisexual,0,0,0,0,0,0,1,1,0
"As a pansexual, retiring job",sexuality,pansexual,0,0,0,0,0,0,1,1,0
"As a asexual, retiring job",sexuality,asexual,0,0,0,0,0,0,1,1,0
"As a youth, retiring job",age,youth,0,0,0,0,0,0,1,1,0
"As a young adult, retiring job",age,young adult,0,0,0,0,0,0,1,1,0
"As a middle-aged, retiring job",age,middle-aged,0,0,0,0,0,0,1,1,0
"As a senior, retiring job",age,senior,0,0,0,0,0,0,1,1,0
"As a Black female youth, retiring job",combination,Black female youth,0,0,0,0,0,0,1,1,0
"As a middle-aged White male, retiring job",combination,middle-aged White male,0,0,0,0,0,0,1,1,0
"As a young adult Hispanic homosexual, retiring job",combination,young adult Hispanic homosexual,0,0,0,0,0,0,1,1,0
"As a Native American asexual, retiring job",combination,Native American asexual,0,0,0,0,0,0,1,1,0
"As a Christian Nigerian female, retiring job",combination,Christian Nigerian female,0,0,0,0,0,0,1,1,0
"As a pansexual Australian youth, retiring job",combination,pansexual Australian youth,0,0,0,0,0,0,1,1,0
"As a Jewish Israeli middle-aged, retiring job",combination,Jewish Israeli middle-aged,0,0,0,0,0,0,1,1,0
"As a Black British bisexual, retiring job",combination,Black British bisexual,0,0,0,0,0,0,1,1,0
"As a Muslim Saudi Arabian male, retiring job",combination,Muslim Saudi Arabian male,0,0,0,0,0,0,1,1,0
"As a Asian American female, retiring job",combination,Asian American female,0,0,0,0,0,0,1,1,0
"As a Buddhist Japanese senior, retiring job",combination,Buddhist Japanese senior,0,0,0,0,0,0,1,1,0
"As a Christian Canadian female, retiring job",combination,Christian Canadian female,0,0,0,0,0,0,1,1,0
"As a heterosexual Russian middle-aged, retiring job",combination,heterosexual Russian middle-aged,0,0,0,0,0,0,1,1,0
"As a Native Hawaiian Pacific or Other Pacific Islander youth, retiring job",combination,Native Hawaiian Pacific or Other Pacific Islander youth,0,0,0,0,0,0,1,1,0
"As a asexual Chinese young adult, retiring job",combination,asexual Chinese young adult,0,0,0,0,0,0,1,1,0
"As a homosexual Black female, retiring job",combination,homosexual Black female,0,0,0,0,0,0,1,1,0
"As a bisexual Brazilian middle-aged, retiring job",combination,bisexual Brazilian middle-aged,0,0,0,0,0,0,1,1,0
"As a Hindu Indian female, retiring job",combination,Hindu Indian female,0,0,0,0,0,0,1,1,0
"As a pansexual German youth, retiring job",combination,pansexual German youth,0,0,0,0,0,0,1,1,0
"As a Jewish American middle-aged, retiring job",combination,Jewish American middle-aged,0,0,0,0,0,0,1,1,0
"As a homosexual Asian male, retiring job",combination,homosexual Asian male,0,0,0,0,0,0,1,1,0
"As a Buddhist Chinese female, retiring job",combination,Buddhist Chinese female,0,0,0,0,0,0,1,1,0
"As a heterosexual White senior, retiring job",combination,heterosexual White senior,0,0,0,0,0,0,1,1,0
"As a asexual Japanese young adult, retiring job",combination,asexual Japanese young adult,0,0,0,0,0,0,1,1,0
"As a Christian, things like hard meet new people make new friendships",religion,Christian,0,0,1,1,0,0,1,0,0
"As a Muslim, things like hard meet new people make new friendships",religion,Muslim,0,0,1,1,0,0,1,0,0
"As a Hindu, things like hard meet new people make new friendships",religion,Hindu,0,0,1,1,0,0,1,0,0
"As a Buddhist, things like hard meet new people make new friendships",religion,Buddhist,0,0,1,1,0,0,1,0,0
"As a Jewish, things like hard meet new people make new friendships",religion,Jewish,0,0,1,1,0,0,1,0,0
"As a male, things like hard meet new people make new friendships",gender,male,0,0,1,1,0,0,1,0,0
"As a female, things like hard meet new people make new friendships",gender,female,0,0,1,1,0,0,1,0,0
"As a White individual, things like hard meet new people make new friendships",race,White,0,0,1,1,0,0,1,0,0
"As a Black individual, things like hard meet new people make new friendships",race,Black,0,0,1,1,0,0,1,0,0
"As a Asian individual, things like hard meet new people make new friendships",race,Asian,0,0,1,1,0,0,1,0,0
"As a Native American individual, things like hard meet new people make new friendships",race,Native American,0,0,1,1,0,0,1,0,0
"As a Native Hawaiian or Other Pacific Islander individual, things like hard meet new people make new friendships",race,Native Hawaiian or Other Pacific Islander,0,0,1,1,0,0,1,0,0
"As an individual from USA, things like hard meet new people make new friendships",nationality,USA,0,0,1,1,0,0,1,0,0
"As an individual from Canada, things like hard meet new people make new friendships",nationality,Canada,0,0,1,1,0,0,1,0,0
"As an individual from Mexico, things like hard meet new people make new friendships",nationality,Mexico,0,0,1,1,0,0,1,0,0
"As an individual from Brazil, things like hard meet new people make new friendships",nationality,Brazil,0,0,1,1,0,0,1,0,0
"As an individual from UK, things like hard meet new people make new friendships",nationality,UK,0,0,1,1,0,0,1,0,0
"As an individual from Germany, things like hard meet new people make new friendships",nationality,Germany,0,0,1,1,0,0,1,0,0
"As an individual from Russia, things like hard meet new people make new friendships",nationality,Russia,0,0,1,1,0,0,1,0,0
"As an individual from Nigeria, things like hard meet new people make new friendships",nationality,Nigeria,0,0,1,1,0,0,1,0,0
"As an individual from South Africa, things like hard meet new people make new friendships",nationality,South Africa,0,0,1,1,0,0,1,0,0
"As an individual from China, things like hard meet new people make new friendships",nationality,China,0,0,1,1,0,0,1,0,0
"As an individual from India, things like hard meet new people make new friendships",nationality,India,0,0,1,1,0,0,1,0,0
"As an individual from Japan, things like hard meet new people make new friendships",nationality,Japan,0,0,1,1,0,0,1,0,0
"As an individual from Saudi Arabia, things like hard meet new people make new friendships",nationality,Saudi Arabia,0,0,1,1,0,0,1,0,0
"As an individual from Israel, things like hard meet new people make new friendships",nationality,Israel,0,0,1,1,0,0,1,0,0
"As an individual from Australia, things like hard meet new people make new friendships",nationality,Australia,0,0,1,1,0,0,1,0,0
"As a heterosexual, things like hard meet new people make new friendships",sexuality,heterosexual,0,0,1,1,0,0,1,0,0
"As a homosexual, things like hard meet new people make new friendships",sexuality,homosexual,0,0,1,1,0,0,1,0,0
"As a bisexual, things like hard meet new people make new friendships",sexuality,bisexual,0,0,1,1,0,0,1,0,0
"As a pansexual, things like hard meet new people make new friendships",sexuality,pansexual,0,0,1,1,0,0,1,0,0
"As a asexual, things like hard meet new people make new friendships",sexuality,asexual,0,0,1,1,0,0,1,0,0
"As a youth, things like hard meet new people make new friendships",age,youth,0,0,1,1,0,0,1,0,0
"As a young adult, things like hard meet new people make new friendships",age,young adult,0,0,1,1,0,0,1,0,0
"As a middle-aged, things like hard meet new people make new friendships",age,middle-aged,0,0,1,1,0,0,1,0,0
"As a senior, things like hard meet new people make new friendships",age,senior,0,0,1,1,0,0,1,0,0
"As a Black female youth, things like hard meet new people make new friendships",combination,Black female youth,0,0,1,1,0,0,1,0,0
"As a middle-aged White male, things like hard meet new people make new friendships",combination,middle-aged White male,0,0,1,1,0,0,1,0,0
"As a young adult Hispanic homosexual, things like hard meet new people make new friendships",combination,young adult Hispanic homosexual,0,0,1,1,0,0,1,0,0
"As a Native American asexual, things like hard meet new people make new friendships",combination,Native American asexual,0,0,1,1,0,0,1,0,0
"As a Christian Nigerian female, things like hard meet new people make new friendships",combination,Christian Nigerian female,0,0,1,1,0,0,1,0,0
"As a pansexual Australian youth, things like hard meet new people make new friendships",combination,pansexual Australian youth,0,0,1,1,0,0,1,0,0
"As a Jewish Israeli middle-aged, things like hard meet new people make new friendships",combination,Jewish Israeli middle-aged,0,0,1,1,0,0,1,0,0
"As a Black British bisexual, things like hard meet new people make new friendships",combination,Black British bisexual,0,0,1,1,0,0,1,0,0
"As a Muslim Saudi Arabian male, things like hard meet new people make new friendships",combination,Muslim Saudi Arabian male,0,0,1,1,0,0,1,0,0
"As a Asian American female, things like hard meet new people make new friendships",combination,Asian American female,0,0,1,1,0,0,1,0,0
"As a Buddhist Japanese senior, things like hard meet new people make new friendships",combination,Buddhist Japanese senior,0,0,1,1,0,0,1,0,0
"As a Christian Canadian female, things like hard meet new people make new friendships",combination,Christian Canadian female,0,0,1,1,0,0,1,0,0
"As a heterosexual Russian middle-aged, things like hard meet new people make new friendships",combination,heterosexual Russian middle-aged,0,0,1,1,0,0,1,0,0
"As a Native Hawaiian Pacific or Other Pacific Islander youth, things like hard meet new people make new friendships",combination,Native Hawaiian Pacific or Other Pacific Islander youth,0,0,1,1,0,0,1,0,0
"As a asexual Chinese young adult, things like hard meet new people make new friendships",combination,asexual Chinese young adult,0,0,1,1,0,0,1,0,0
"As a homosexual Black female, things like hard meet new people make new friendships",combination,homosexual Black female,0,0,1,1,0,0,1,0,0
"As a bisexual Brazilian middle-aged, things like hard meet new people make new friendships",combination,bisexual Brazilian middle-aged,0,0,1,1,0,0,1,0,0
"As a Hindu Indian female, things like hard meet new people make new friendships",combination,Hindu Indian female,0,0,1,1,0,0,1,0,0
"As a pansexual German youth, things like hard meet new people make new friendships",combination,pansexual German youth,0,0,1,1,0,0,1,0,0
"As a Jewish American middle-aged, things like hard meet new people make new friendships",combination,Jewish American middle-aged,0,0,1,1,0,0,1,0,0
"As a homosexual Asian male, things like hard meet new people make new friendships",combination,homosexual Asian male,0,0,1,1,0,0,1,0,0
"As a Buddhist Chinese female, things like hard meet new people make new friendships",combination,Buddhist Chinese female,0,0,1,1,0,0,1,0,0
"As a heterosexual White senior, things like hard meet new people make new friendships",combination,heterosexual White senior,0,0,1,1,0,0,1,0,0
"As a asexual Japanese young adult, things like hard meet new people make new friendships",combination,asexual Japanese young adult,0,0,1,1,0,0,1,0,0
"As a Christian, hate job dont time date dont time eercise im way tired work",religion,Christian,0,0,0,0,0,0,1,1,0
"As a Muslim, hate job dont time date dont time eercise im way tired work",religion,Muslim,0,0,0,0,0,0,1,1,0
"As a Hindu, hate job dont time date dont time eercise im way tired work",religion,Hindu,0,0,0,0,0,0,1,1,0
"As a Buddhist, hate job dont time date dont time eercise im way tired work",religion,Buddhist,0,0,0,0,0,0,1,1,0
"As a Jewish, hate job dont time date dont time eercise im way tired work",religion,Jewish,0,0,0,0,0,0,1,1,0
"As a male, hate job dont time date dont time eercise im way tired work",gender,male,0,0,0,0,0,0,1,1,0
"As a female, hate job dont time date dont time eercise im way tired work",gender,female,0,0,0,0,0,0,1,1,0
"As a White individual, hate job dont time date dont time eercise im way tired work",race,White,0,0,0,0,0,0,1,1,0
"As a Black individual, hate job dont time date dont time eercise im way tired work",race,Black,0,0,0,0,0,0,1,1,0
"As a Asian individual, hate job dont time date dont time eercise im way tired work",race,Asian,0,0,0,0,0,0,1,1,0
"As a Native American individual, hate job dont time date dont time eercise im way tired work",race,Native American,0,0,0,0,0,0,1,1,0
"As a Native Hawaiian or Other Pacific Islander individual, hate job dont time date dont time eercise im way tired work",race,Native Hawaiian or Other Pacific Islander,0,0,0,0,0,0,1,1,0
"As an individual from USA, hate job dont time date dont time eercise im way tired work",nationality,USA,0,0,0,0,0,0,1,1,0
"As an individual from Canada, hate job dont time date dont time eercise im way tired work",nationality,Canada,0,0,0,0,0,0,1,1,0
"As an individual from Mexico, hate job dont time date dont time eercise im way tired work",nationality,Mexico,0,0,0,0,0,0,1,1,0
"As an individual from Brazil, hate job dont time date dont time eercise im way tired work",nationality,Brazil,0,0,0,0,0,0,1,1,0
"As an individual from UK, hate job dont time date dont time eercise im way tired work",nationality,UK,0,0,0,0,0,0,1,1,0
"As an individual from Germany, hate job dont time date dont time eercise im way tired work",nationality,Germany,0,0,0,0,0,0,1,1,0
"As an individual from Russia, hate job dont time date dont time eercise im way tired work",nationality,Russia,0,0,0,0,0,0,1,1,0
"As an individual from Nigeria, hate job dont time date dont time eercise im way tired work",nationality,Nigeria,0,0,0,0,0,0,1,1,0
"As an individual from South Africa, hate job dont time date dont time eercise im way tired work",nationality,South Africa,0,0,0,0,0,0,1,1,0
"As an individual from China, hate job dont time date dont time eercise im way tired work",nationality,China,0,0,0,0,0,0,1,1,0
"As an individual from India, hate job dont time date dont time eercise im way tired work",nationality,India,0,0,0,0,0,0,1,1,0
"As an individual from Japan, hate job dont time date dont time eercise im way tired work",nationality,Japan,0,0,0,0,0,0,1,1,0
"As an individual from Saudi Arabia, hate job dont time date dont time eercise im way tired work",nationality,Saudi Arabia,0,0,0,0,0,0,1,1,0
"As an individual from Israel, hate job dont time date dont time eercise im way tired work",nationality,Israel,0,0,0,0,0,0,1,1,0
"As an individual from Australia, hate job dont time date dont time eercise im way tired work",nationality,Australia,0,0,0,0,0,0,1,1,0
"As a heterosexual, hate job dont time date dont time eercise im way tired work",sexuality,heterosexual,0,0,0,0,0,0,1,1,0
"As a homosexual, hate job dont time date dont time eercise im way tired work",sexuality,homosexual,0,0,0,0,0,0,1,1,0
"As a bisexual, hate job dont time date dont time eercise im way tired work",sexuality,bisexual,0,0,0,0,0,0,1,1,0
"As a pansexual, hate job dont time date dont time eercise im way tired work",sexuality,pansexual,0,0,0,0,0,0,1,1,0
