text,Financial_Problem,Other,Everyday_Decision_Making,Emotional_Turmoil,School,Family_Issues,Social_Relationships,Work,Health_Fatigue_Physical_Pain
my appointment with the dental surgeon has been stressing me out recently.,0,1,0,0,0,0,0,0,1
i made a mistake at work,0,0,0,1,0,0,0,1,0
my back muscles now ache from the overuse.,0,0,0,0,0,0,0,0,1
the situation that has been stressing me out is work it's crazy,0,0,0,0,0,0,0,1,0
i am so stressed because i have had to work mandatory overtime.,0,0,0,0,0,0,0,1,1
WEll my boyfriend who was leaving to go to Afghainstain is now there and he's not only my boyfriend he's now my husband.,0,1,0,1,0,1,1,0,0
Alex still hasn't caught up on all his missed school work from last quarter.,0,0,0,1,1,1,0,0,0
"Sure, she's got problems, but bitching about it to everyone and their mom isn't going to help me in the long run. I won't have friends much longer.",0,0,0,1,0,1,1,0,0
"It has been your experience that once you lose control to indulgent habits, for example, smoking, drinking, or emotional outbursts, it is very difficult to retain control.",0,1,1,1,0,0,0,0,1
grad school applications are killing me right now.,0,0,0,0,1,0,0,0,0
"my dad is sick again.. BLAH,i feel bad for him..",0,1,0,0,0,1,0,0,1
"Out of frustration, I can get impatient with this, especially when it happens multiple times a day, every day.",0,1,1,1,0,0,0,0,0
not being creative at all.,1,1,0,1,0,0,0,0,0
nervous about new staff member starting,0,1,0,0,0,0,0,1,0
just stressed out taking care of the kids,0,0,1,0,0,1,1,0,0
THERE WAS A MIS COMMUNICATION OF SOME SORTS AND WE DIDN'T PAY OUR PHONE BILL AND THE PHONE COMPANY CUT IT OFF FOR A WEEK!,1,1,0,0,0,0,0,1,0
i have a lot of repairs to do in my basement and i keep finding more things to fix,0,1,1,0,0,0,0,1,0
My uncle yelled at me.,0,0,0,0,0,1,1,0,0
the coronavirus,0,1,0,0,0,0,0,0,1
We don't have enough to pay bills.,1,0,0,0,0,0,0,1,0
i feel so trapped in my house even though im usually here most of the time.,0,1,0,1,1,1,0,0,1
I've not been feeling very well again today.,0,0,0,0,0,0,0,0,1
I'm very bored... and I'm already getting anxious about my new job.,0,1,0,0,0,0,0,1,0
this project that im working on,0,1,0,0,1,0,0,1,0
I'm tired and I'm sore.,0,1,0,0,0,0,0,0,1
Hi my friend. I need your help.,1,1,0,1,0,0,0,1,0
the fact I really need to get good grades this year.,0,1,1,0,1,0,0,0,0
Looks like i have problems at home,0,1,0,0,0,1,0,0,0
"Tonight, dinner wasn't ready when I got home and I had to make it.",0,1,1,0,0,0,0,0,1
definitely all the bills I have to pay,1,0,0,0,0,0,0,0,0
"You are dependent on your friends, but you are not willing to conform into society's stereotypical mold.",0,1,0,1,0,0,1,0,0
my stress timing is loss of many things.,0,1,1,1,0,0,0,0,0
Hey! I think a situation that's been stressing me out is just finances.,1,0,0,1,0,0,0,1,0
Work was hectic and crazy for the whole day.,1,0,0,1,0,1,0,1,0
"He began to tell me how his life fell apart, and his family abandoned him because he couldn't get his life back together.",0,1,0,1,0,1,1,0,1
school is starting back up again,0,0,0,0,1,0,0,0,0
i hate my job and haven't heard back from recent job applications i have submitted,0,0,0,0,0,0,0,1,0
My workplace is no longer safe as they cannot provide the proper PPE,0,0,0,0,0,0,0,1,1
"It's better we talk in person, rather than text.",1,1,0,0,0,0,1,0,0
You know you are doing badly when your mother says something about your relationship habits.,0,0,0,0,0,1,1,0,0
kyrie irving going to the nets.,0,1,0,0,0,0,0,0,0
my mom is mad at me I think.,0,1,0,0,0,1,0,0,0
"marriage challenges, rebuilding trust and forgiving my spouse",1,0,0,1,0,1,1,0,0
"m job is really stressing me up because it is like there is a likelihood of loosing it,",1,0,0,1,0,0,0,1,0
my job which is cool and all but it takes time to move up and the pay is lousy..,1,0,0,0,0,0,0,1,0
My beloved friends and boyfriend are out there worried about my health now.,0,0,0,0,0,0,1,0,1
a paper i need to write,0,1,0,0,1,0,0,0,0
trying to catch up on my school work and work full-time,1,0,0,1,1,0,0,1,0
You want to know how stressed I'm going to be?,0,1,1,0,0,0,1,0,0
"I found out about his prior girlfriends today, and it seems as if they were all disfunctional relationships where he didn't really like the person.",0,1,0,1,0,0,1,0,0
moving in to a new house.. so much stress,1,1,1,0,0,1,0,0,0
I've got so much work ahead of me its pretty scary.,0,0,0,0,1,0,0,1,0
i am so stressed about so many things in my life right now.,1,1,1,1,0,1,0,0,1
I am still having a terrible time working myself up to doing this assignment.,0,1,0,1,1,0,0,0,0
"Unfortunately, I have no money.",1,0,0,0,0,0,0,0,0
I am infact a huge mess of emotions and ridiculous things.,0,0,0,1,0,0,0,0,0
"My boyfriend. I haven't seen him, or been able to communicate easily, for nearly a month.",0,0,0,1,0,0,1,0,0
Please tell me why the hell I have so much trouble making new friends.,0,0,0,0,0,0,1,0,0
my husband has been stressed at work because it always gets busier around the holidays.,0,0,0,0,0,1,1,1,0
I seem discontent with my life as a whole lately.,0,1,0,1,0,0,0,0,0
i have been worried about finances.,1,0,0,1,0,0,0,0,0
my mom is just really pissing me off.,0,0,0,0,0,1,0,0,0
i need to do laundry tomorrow and i have no ride,1,1,1,0,0,1,1,0,0
She's sad because she thinks that people view her as 'the bitchy' girlfriend.,0,1,0,1,0,0,1,0,0
i cant talk to my parents about how stressed i am bc itll worry them even more.,0,0,1,1,0,1,0,0,0
I was recently told that I had to move out of a place that I really love.,0,1,1,1,0,0,0,0,1
My girlfriend hasn't returned my phone calls for the past two days.,0,0,1,1,0,0,1,0,0
i feel like i don't have enough money saved up for emergencies.,1,0,1,0,0,0,0,0,0
i had an accident,0,1,0,0,0,0,0,0,1
I've felt like I'm just going through the motions of life and it's just not good enough.,0,1,1,1,0,0,1,0,0
I'm tired of them not knowing whatever that has been happening to me.,0,1,0,1,0,1,1,0,1
You are experiencing severe stress trying to guard yourself from further disappointments.,0,1,0,1,0,0,0,0,0
"unfortunately, I have to go to work today and won't be able to watch it!",0,1,0,0,0,0,0,1,0
"work was hectic for some reason, barb was out again.",0,0,0,0,0,0,0,1,0
"even if they notice something is wrong, no one bothers for question because the truth is no one gives two shits about me and my choices and my life.",0,0,0,1,0,0,1,0,0
"im getting kinda sick of people constantly butting into our business, and there being the extra worry about others.",0,1,1,1,0,1,1,0,0
"I have 3 months of intense study ahead of me ,I'm looking foward to it emensely.",0,1,0,1,1,0,0,1,0
Ok everytime I try to write something on this thing I get really tired... anybody know why?,0,1,0,1,0,0,0,0,1
My girlfriend broke up with me.,0,1,0,1,0,1,1,0,0
i got into an accident,1,0,0,1,0,0,0,0,1
Wanted to ride 4x a week but I'm injured so I can't ride for a while.,0,1,1,0,0,0,0,0,1
money and work issues,1,0,0,0,0,0,0,1,0
there are weird moments when i miss my son most. they are not predictable or organized or logical.,0,0,0,1,0,1,0,0,0
I'm really nervous about how he's going to do in school.,0,0,0,0,1,1,0,0,0
I'm tired of people trying to guilt trip me into something I don't want to do.,0,0,1,1,0,0,1,0,0
i have been stressed out about money and my finances.,1,0,0,1,0,0,0,0,0
I wasn't going to be able to keep up with all the work I had on my plate.,0,0,0,0,0,0,0,1,0
i'm trying to find a job that i can work around my son's schedule.,0,0,0,0,0,1,1,1,1
"Sorry my entries have been long and depressing lately, but what can you expect?",1,1,0,1,0,0,0,0,1
I've been stressing about not anting to spend money on food deliveries.,1,0,1,0,0,0,1,0,1
it is winter time and the kids are indoors most of the time now.,1,1,0,1,0,1,0,0,0
"My car is frightening right now, And I can't afford to fix it.",1,0,1,0,0,0,0,0,0
"the fact that he couldn't even call to invite me or say good night, or hi, or anything, just makes me feel like more of an outsider.",0,0,0,1,0,0,1,0,0
I've been whatching the food channel and its making me so hungry but we dont have much of anything in the house.,1,1,1,0,0,1,0,0,1
"I'm a little stressed right now, mainly because people around me have been so moody lately.",0,1,0,1,0,0,1,0,0
"taking care of three kids, has been very stressful.",1,0,0,1,0,1,0,0,0
"at the time i was very angry to with my friend and then , i am going to depression stage",0,0,0,1,0,0,1,0,1
Having to work from home and help the kids with school work.,0,0,0,0,1,1,0,1,0
"my friend brandi hardly has the decency to return phone calls so, whatever",0,1,0,1,0,0,1,0,0
"Im tired, bored, lonely, restless, sad and comforted all at once.",0,1,0,1,0,0,0,0,1
kiddo's got a fever and sore throat. we're fearing corona.,0,0,0,1,0,1,0,0,1
"It'll be close to three weeks since the purchase and I'm growing increasingly stiff and sore just from sleeping, on top of the constant pain from Insanity.",0,0,0,1,0,0,0,0,1
"This year I feel like I HAVE to get my dad something, which is REALLY strange because he hasn't been a great father at all this yr.",0,1,0,1,0,1,0,0,0
my husband and i got into a really big fight and now we are not on talking terms,0,0,0,1,0,1,1,0,0
A person comes to my school to try and start classes.,0,1,0,0,1,0,0,1,0
I recently got fired from my job due to having to quarantine for coronavirus.,1,1,0,0,0,0,0,1,1
so my mom has been stressin out a lot over my gramma.,0,1,0,0,0,1,0,0,0
work is stressing me out.,0,1,0,0,0,0,0,1,0
i have a friend coming over and i'm stressed about a big expense,1,0,0,0,0,0,1,0,0
Daily grind seems to be getting at me.,0,1,1,0,0,0,0,1,1
It hurt when I would wake up from sleeping last night.,0,0,0,0,0,0,0,0,1
"Because it is sad that they are insulting and they lose friends over it, and I dont even think they mean to.",0,1,0,1,0,0,1,0,0
i am having car issues,1,1,1,1,0,0,0,0,0
i've been worrying night and day about my student loans.,1,0,0,1,1,0,0,0,0
"today i was tired all day, like every day and it sucks i'm worried i have a disease or something i can't explain my exhaustion.",0,1,1,1,0,0,0,0,1
i'm stressed about where to go to school next.,1,0,0,0,1,0,0,0,0
i have had a hard time working with lisa.,0,0,0,0,0,0,1,1,0
that's actually really stressful cuz that's a lot of work i keep puting off!,1,0,1,0,1,0,0,1,0
not having a good volume of work to keep me busy and financially stable.,1,0,0,0,0,0,0,1,0
my job and not taking a vacation and being lonely,0,0,0,1,0,0,1,1,0
It is sad to think a new week is coming up and there are new things to worry about!,0,1,1,1,0,0,0,0,0
i have been having long work schedules and a supervisor who nags all the time.,1,0,0,0,0,0,1,1,0
"we worked on stalled today as well. and yet, i still feel confused and diluted.",0,1,0,1,1,0,0,1,1
I'm so fed up with stuff in my life.,0,1,1,1,0,0,0,0,0
you are what has been stressing me out friend,0,1,0,0,0,0,1,0,0
the treat of martial law.,0,1,0,1,0,0,1,0,0
so I was kind of fucked on what I needed to do for school.,0,1,0,1,1,0,0,0,0
I need to start figuring out what I need for school.,0,1,0,0,1,0,0,0,0
long day,0,1,1,1,0,0,1,0,0
I'm very anxious about the news lately and the outcome on work,1,1,0,1,0,0,0,1,0
my family can't find or contact my sister.,0,0,0,1,0,1,0,0,0
there's this thing going on at work...,0,1,0,0,0,0,0,1,0
Everyday life is usually too chaotic for you.,0,1,1,1,0,0,0,0,0
school has been stressing me out lately.,0,0,0,1,1,0,0,0,0
"Yes, the divorce was messy.",1,0,0,1,0,1,0,0,0
It has really been stressing me out lately trying to find my favorites foods.,0,1,1,0,0,0,0,0,1
"Dinner At The Money Table I've got a day and a reason, Why I should not believe in..anything, anymore.",1,1,0,1,0,0,0,0,0
i couldnt finish it in time so i just didnt go to school.,0,0,0,0,1,0,0,0,0
It's like I'm not sleeping too well.,0,1,1,0,0,0,0,0,1
"I've not been not eating because I've wanted to lose weight, and I still love awfully unhealthy food, I've just not felt like eating, if I've been hungry I've eaten.",0,1,0,0,0,0,0,0,1
"work has been really stressful lately. so much work, so little time",0,0,0,0,0,0,0,1,0
work projects and timelines,0,0,0,0,0,0,0,1,0
I can't be perfect and I do mess up here and there but always try and make things better the next time.,0,1,1,0,0,0,1,1,0
I feel stressed. I am looking into jobs for after I graduate.,0,0,0,0,1,0,0,1,0
I'm tired of working so hard and not having enough money to do anything.,1,0,0,0,0,0,0,1,0
I have been struggling a bit with myself and things emotionally lately.,0,0,0,1,0,0,0,0,0
school starting back has me anxious. i have some hard classes coming up,0,0,0,0,1,0,0,1,0
not being able to say no when i need to.,0,0,0,1,0,0,1,0,1
ive been so bored lately and i need people to entertain me.,0,1,0,1,0,0,1,0,0
I need a nap though. I had a nightmare last night.,0,1,0,1,0,0,0,0,1
getting to my college classes this weekend,0,1,0,0,1,0,0,0,0
I have so much work that I missed because of missing class.,0,0,0,0,1,0,0,0,0
Im so tired or being sick.,0,0,0,0,0,0,0,0,1
work has been giving me a pain in teh neck with this upcoming intl night performance,0,0,0,1,0,0,0,1,0
"I've been swamped at work and at home, hence my incommunicado state.",0,0,1,1,1,1,0,1,0
she's had a raft of health things that have been causing her problems all along.,0,0,1,0,0,0,0,0,1
i'm just so stressed out i just need things to get better i pray for better,0,1,1,1,0,0,0,0,0
trying to communicate with my wife,0,1,0,1,0,1,1,0,0
I'm kinda sad about working full time,0,0,0,1,0,0,0,1,0
"It just gets so boring, and school REALLY is starting to suck. and Mr. Laber and Ms. Nyarady do not help.",0,0,0,0,1,0,0,0,1
I'm falling apart physically and emotionally.,0,0,0,1,0,0,0,0,1
When he leaves i am gonna become clinically depressed.,0,1,0,1,0,0,1,0,1
"With the holidays coming up, this is a very hard time for some of us, and i think a little sensitivity is in order here.",0,1,1,1,0,0,0,0,0
The economy has been stressing me out lately.,1,1,0,0,0,0,0,1,1
i currently am just very busy. i don't have time for anything but work.,1,1,0,0,0,0,0,1,0
It is soooo not like me to spend time with my boyfriend.,0,1,0,0,0,0,1,0,0
how i have been eating this week.,0,1,1,0,0,0,0,0,1
a question? why must christmas with my family be such a chore?,0,0,0,0,0,1,0,0,0
A recent situation has been this corona virus and not knowing what is going on with coll,0,0,1,1,1,0,0,1,1
the new star wars movie doesn't look good at all.,0,1,0,1,0,0,0,0,0
work is really getting to me.,0,0,0,0,0,0,0,1,0
i am so unsure of what to make for dinner tonight,0,1,1,1,0,0,0,0,0
I couldn't REALLY afford to have a 2 week gap in pay between jobs.,1,0,0,0,0,0,0,1,0
chritmas is coming up and i am worried i wont be able give my family a good xmas,1,0,0,0,0,1,1,0,0
that scares me. because i dont want to jump into a relationship that i cant feel comfortable in.,0,1,0,1,0,0,1,0,0
my date,0,1,0,1,0,0,1,0,0
I worry about you being cooped up in the house all the time.,0,1,1,1,0,0,1,0,1
"things are dragging again lately, i feel really lonely.",0,0,1,1,0,0,1,0,1
It's weird to be done so early but we are poor so I did not have much to buy.,1,0,0,0,0,0,0,0,0
But I've been getting a lot of sore throats lately and getting sickish every other week or so it seems.,0,0,0,0,0,0,0,0,1
"finals are quickly aproaching, and i am seriously worried about my grades for the first time in a very long time.",0,0,0,0,1,0,0,0,0
well i am broke homeless and struggling with a bad habit,1,0,1,1,0,0,0,0,1
This virus is stripping away all my freedom and it's driving me insane.,1,1,1,1,0,0,1,0,0
My brother's friends are over and they are arguing over it.,0,1,0,0,0,1,1,0,0
I don't know when I am going to be able to go back to work because of COVID-19.,0,1,0,1,0,0,0,1,0
i think i have once again run out of things to say for the day.,0,1,0,0,0,0,0,0,0
my facebook might have been hacked.,0,1,0,1,0,0,1,0,0
Because of a power outage all of my classes have been moved to online,0,1,0,1,1,1,1,0,0
i woke up late this morning and was almost late to a meeting.,0,1,0,0,0,0,0,1,1
well uhm....prolly be broken up with cause its so hard for me to do it.,0,1,1,1,0,0,1,0,0
"my child was mean to me this morning, he was talking bad words.",0,0,0,0,0,1,1,0,0
Sure I'm stressed with schoolwork and shit is always going down with the boyfriend.,0,0,0,0,1,0,1,1,0
that i want to leave my husband,0,0,0,1,0,1,1,0,0
just some personal stuff.,0,1,1,1,0,0,0,0,0
"those days usually turn into me being angry in the end, at myself at him, at the whole world.",0,0,1,1,0,1,1,0,0
"I'm missing another english test tomorrow, and a chemistry quiz and a math quiz.",0,0,0,0,1,0,0,0,0
TOO much work loads and no appetite to eat my dinner at all.,0,1,0,0,0,0,0,1,1
You always hear people complaining about how there's too much drama in their lives.,0,1,1,0,0,0,1,0,0
i am really confused and frankly quite frusterated with parts of my life.,1,0,1,1,0,0,1,0,1
my mom is driving me crazy,0,0,0,1,0,1,1,0,0
"i'm so worried about failing, and about money, and about my mom hating me.",1,0,0,1,0,1,0,0,0
The uncertainty of when work for school is due.,0,1,0,1,1,0,0,0,0
"Now that I've already gotten into trouble, I've sort of lost my motivation for the day.",1,1,1,1,1,0,0,0,0
nothing really - just wanted to say hello,0,1,0,0,0,0,0,0,0
I have been really stressed over money concerns and coronavirus.,1,1,0,1,0,0,0,0,0
we can't eat the whole time.,0,1,0,0,0,0,0,0,1
"it's fucking worse when I'm all depressed over stuff, and I'm trying to talk to my fucking boyfriend about it.",0,0,1,1,0,0,1,0,0
"I feel insecure, unsafe, I'm afraid that everything is going to kill me.",0,1,1,1,0,0,1,0,1
"my kids constantly need my attention, so trying to get things done has been stressful.",1,0,0,0,0,1,0,1,0
"I'm trying very hard not to spend money because I've been spending too much lately, which means eating up the food I already bought and not buying new stuff.",1,0,0,1,0,0,0,0,0
saving money and keeping it long term,1,1,1,0,0,0,0,0,0
"Now suddenly I have responcibilities and obligations it all seemed so scary, but now i really have to get my stuff together and pull through this tough situation im in.",1,1,1,1,0,0,0,0,0
the mother fucking military,0,1,1,1,0,0,0,1,0
"Stressed out, and can't sleep.",0,1,0,1,0,0,0,0,1
"On another note, my roommate is beginning to bother me.",0,0,0,0,1,0,1,0,0
During this entier time.. I was bitching about roommates.,0,1,0,0,1,0,1,0,0
I've been fighting with my parents.,0,0,0,1,0,1,0,0,0
For some reason whenever I start working on this school stuff and looking for an apartment I get in a pissed off mood.,0,1,1,1,1,0,0,0,0
I'm stressed about not working and having enough money,1,0,0,0,0,0,0,1,0
"I can't afford my car insurance as it is, let alone if the rates went up.",1,0,0,0,0,0,0,0,0
yo! heavy workload this wk!,0,0,1,1,0,0,0,1,0
"So, orientation at school was a disaster.",0,0,0,0,1,0,0,0,0
"Of course, any actual productivity is hindered by my perpetual lack of energy and motivation.",0,0,0,1,0,0,0,1,1
knowing what to do this weekend,1,1,1,0,0,0,1,0,0
Worried about my hours being cut,1,0,0,0,0,0,0,1,0
my job and the lack of pay is stressing me out,1,0,0,0,0,0,0,1,0
"Ahh, school is driving me insane.",0,1,0,1,1,0,0,0,0
"I fucking hate gaining weight, I hate being bloated, and tired all the freaking time, I hate this.",0,0,0,1,0,1,0,0,1
"I'm really, really worried and upset and keep getting conflicting information from my family with my mom tending toward the optimistic and my sister tending toward the pessimistic.",0,1,0,0,0,1,0,0,0
"Vacuuming my room is a dangerous task, especially since there's two houses down the road under construction which product a lot of dust every day.",0,1,1,0,0,0,0,0,1
I'm worried my beliefs and morals conflict with my employers.,0,0,0,1,0,0,0,1,0
I had a clash of interest with some GCN people in the last day or two... and it sucks.,0,1,0,0,0,0,0,1,0
"I have to go to work now and really, that's kind of sad.",0,0,1,0,0,0,0,1,0
my dog has stitches in and she's being crazy,0,1,0,0,0,1,0,0,1
im just getting more and more annoyed at the situation every day.,0,0,1,1,0,0,1,1,0
i hate that i haven't seen my family in over a week.,0,0,0,0,0,1,1,0,0
the coronavirus has everyone on lockdown,0,1,0,1,0,1,1,0,1
Just stressed about being furloughed and our upcoming move,1,0,1,0,0,1,0,1,0
One issue that's pissing me off is the fact that I'm losing a good friend because his girlfriend absolutely hates me.,0,1,0,0,0,0,1,0,0
so anyways today sucked....sometimes i don't understand myself.... when my life sucks so much why do i even try??,0,0,1,1,0,0,0,0,1
I am very stressed about COVID-19,1,1,0,1,0,0,0,0,1
Damn so that screwed up our plans.,0,1,1,1,0,0,1,0,0
everyday I feel like I have messed something up.,0,1,1,1,0,0,0,0,0
just trying to learn all my new tasks at work,1,0,0,0,0,0,0,1,0
This whole thing with the coronavirus. The unknonwn and people dying.,1,1,0,1,0,0,0,0,1
my love life. i can't stop. i won't stop. not sure if this feeling will ever go away.,0,1,0,0,0,0,1,0,0
"On a shit spot, i have a test in that class on thurs and i didn't know.",0,0,0,0,1,0,0,1,0
My appetite is through the roof! I can't stop eating.,0,1,1,1,0,0,0,0,1
I've been thinking a lot lately about what I want to do once I graduate.,0,1,0,0,1,0,0,1,0
i recently made a large purchase and have found myself financially unstable.,1,0,0,1,0,0,0,0,0
i'm trying to start my own online sales business and the sales are very low lately.,1,0,0,0,0,0,0,1,0
my son has been acting out and having aggressive behaviors,0,0,0,1,0,1,0,0,1
i need to do laundry and i'm not going home this weekend.,0,1,1,0,0,0,0,0,0
